docdb_family_id,person_ctry_code,inventor_count
81214495,NO,1
81254777,GB,1
81254777,NO,1
81254791,US,1
81254903,NO,2
81254906,NO,2
81254952,NO,2
81306665,NO,4
81306788,NO,1
81306981,NO,2
81307288,NO,2
81307311,NO,3
81307324,NO,2
81307492,NO,1
81308050,BE,1
81308176,NO,1
81308272,DE,1
81308272,NO,5
81308553,NO,1
81308594,DE,1
81308594,NO,2
81324982,NO,6
81325430,NO,1
81325431,NO,1
81325431,RU,2
81325566,NO,1
81325759,NO,1
81326046,DE,3
81326128,NO,3
81326488,NO,2
81326591,FI,1
81326591,IT,1
81326591,NO,1
81326591,US,2
81326879,NO,1
81327303,GB,5
81327303,NO,2
81327653,NO,1
81328115,US,3
81328199,NO,2
81328200,NO,1
81344328,NO,1
81344337,NO,2
81344483,US,2
81344503,NO,1
81344859,GB,1
81344859,NO,1
81344898,GB,1
81344898,NO,1
81346368,NO,1
81346577,NO,1
81380893,NO,6
81384634,US,3
81384760,NO,1
81384781,FI,3
81385111,NO,1
81385111,SE,1
81386561,IN,1
81386561,US,3
81386647,NO,3
81386668,NO,3
81386760,DE,1
81386760,NO,1
81387099,NO,1
81388934,NO,4
81388984,NO,5
81388984,US,1
81389003,US,4
81389076,US,3
81389079,NO,7
81393173,NO,1
81448479,NO,3
81448479,SG,1
81448632,US,1
81448725,NO,1
81448775,NO,3
81448897,NO,1
81449275,GB,1
81449275,NO,1
81449402,NO,2
81454746,NO,1
81454746,SE,2
81579630,IT,1
81579630,NZ,2
81579635,NO,1
81580154,NO,4
81580233,NO,1
81580270,NO,4
81580295,NO,4
81580517,NO,2
81580604,NO,1
81580827,NO,1
81580827,SE,1
81580920,NO,2
81581049,NO,1
81581049,SE,1
81581143,NO,1
81581143,SE,1
81581549,NO,4
81585277,NO,1
81585445,NO,4
81585564,NO,1
81587255,NO,3
81588616,NO,2
81588790,NO,2
81595818,NO,6
81595823,NO,2
81597845,NO,1
81597914,NO,2
81598064,NO,1
81603506,NO,1
81603615,NO,2
81603727,NO,3
81603820,NO,2
81648083,GB,1
81648083,NO,1
81648377,CA,4
81648377,GB,2
81648377,NO,1
81648668,NO,1
81648712,NO,1
81648712,PL,1
81648712,US,3
81648753,NO,1
81648756,US,6
81653119,NO,2
81653470,NO,3
81653638,FI,1
81653638,NO,1
81654569,CA,2
81654569,NO,1
81654639,NO,3
81654666,NO,1
81654666,SE,3
81654701,LT,1
81654754,NO,1
81654754,US,5
81654963,FI,1
81654963,NO,1
81656899,NO,3
81658941,NO,1
81722278,NO,1
81748288,NO,1
81748332,NO,1
81748566,NO,2
81748742,BR,7
81748742,NO,1
81748770,US,3
81748833,NO,3
81750372,NO,1
81750431,IN,2
81750644,NO,2
81750644,SK,2
81755416,NO,2
81841920,NO,3
81841971,NL,2
81842114,DE,2
81842114,GB,1
81842114,NO,1
81846492,NO,1
81850269,NO,3
81850423,NO,5
81850937,DE,1
81851058,NO,3
81851424,NO,2
81851786,FR,6
81851951,BN,1
81851951,NO,3
81851961,CH,1
81852021,NO,3
81854365,PL,1
81854429,IN,2
81854429,NO,1
81854511,KR,1
81854511,NO,1
81854511,SE,1
81854561,KR,1
81854561,NO,1
81854561,SE,1
81927810,FR,2
81940399,NO,2
81940532,US,7
81940685,FI,3
81940685,NO,5
81940740,ES,3
81940740,NL,3
81940992,NO,3
81941029,NO,1
81941056,NO,1
81941057,NO,1
81941183,NO,2
81942679,NO,1
81942679,US,2
81943752,NO,2
81943752,US,2
81943850,NO,6
81943853,FI,1
81943896,NO,1
81943952,NO,1
81975344,RO,1
81975363,NO,3
81975364,NO,1
81984568,NO,2
82016277,NO,2
82016278,NO,2
82016296,NO,2
82016317,NO,4
82016364,NO,1
82016518,NO,5
82016537,NO,4
82016557,NO,4
82016574,NO,6
82016579,NO,1
82016622,NO,1
82019174,NO,1
82019386,IR,2
82019386,NO,1
82019693,NO,2
82019888,NO,4
82020037,FR,1
82020037,NO,1
82020091,NO,3
82020136,NO,2
82020824,NO,4
82020967,GB,2
82020967,NO,1
82021181,NO,1
82021181,US,1
82023435,NO,1
82024111,NO,1
82058188,NO,1
82058243,NO,1
82058327,NO,2
82058327,US,2
82058424,NO,2
82058424,US,2
82058491,NO,1
82067491,NO,1
82067531,NO,2
82100296,US,1
82100506,NO,3
82100708,NO,3
82115495,NO,1
82115521,NO,1
82115566,NO,3
82115571,NO,1
82115682,NO,2
82115682,SE,1
82115682,US,1
82115838,NO,1
82115841,NO,1
82117078,BE,1
82117078,NL,1
82117223,NO,3
82117448,DK,4
